Specimen 1
The tested complete stress-strain curves
of concrete under uniaxial compression
Strain, Stress (MPa)
0.0044,19.37885
0.0046,18.14191
0.0048,17.08881
0.005,16.2735
0.0052,15.57076
0.0054,14.92156
0.0056,14.34807
0.0058,13.8573
0.006,13.40138
0.0062,12.95917
0.0064,12.58257
0.0066,12.2624
